comment,n_star,date_time,label
good máy dùng mượt pin hơi kém tí nói_chung ok nhân_viên nhiệt_tình thanks thế_giới di_động,5,2/11/2019,Positive
quá thất_vọng mời mua 2 ngày xài cảm_giác quá tệ luôn thua cả con j7pro mua năm 2017 pin nhanh hết zalo fb thôi xài 1 buổi bình_thường hết 50 pin còn bắt sóng wifi 3g kém chat zalo nhận tin hoặc lâu mới nhận còn kiểu_dáng camera tốc_độ ok đề_nghị samsung xem,2,3/1/2020,Neutral
sản_phẩm tốt chơi game tốt pin trâu tội ứng_dụng máy dính quảng_cáo quá trong phần cài_đặt quảng_cáo gg chèn,5,28/02/2020,Positive
sai_lầm mua đt ghê ă nghe nv tư_vấn xoq mua lun về xem cấu_hình mới thấy chán tầm giá màn_hình mức hd sử sụng chip yếu chơi game giật liên_tục,2,29/03/2020,Negative
mình mới mua điện 3 gb màu tím mức giá thế bạn mua một bản_thân chơi game mượt loa tốt wifi ổn tác vụ bình_thường ok,5,27/06/2020,Positive
thiết_kế đẹp giá_thành chất_lượng cực ổn mình đi du_lịch cầm con selfie ưng_ý,5,16/12/2019,Positive
sao mình sài đc 1 tháng hư lỗ cắm tai_nghe gọi người khác màn_hình tắt,3,12/6/2020,Negative
mua máy dc 1 tuần đối 6 triệu máy quá ok mọi thứ hoạt_động mượt đặc_biệt pin trâu xài 2 ngày mới sạc pin mình dùng toàn 3g k dùng wifi ít chơi game facebook zalo youtube thỉnh_thoảng xem phim đến tối muốn hết pin sạc k hết dc xứng_đáng số tiền bỏ,5,9/4/2020,Positive
điện_thoại tin nhắn tới lâu_lâu nghe nó rè rè âm thâm tin nhắn đè_nén đi,4,22/06/2020,Negative
ứng_dụng văn_phòng chán đặc_biệt ng sử dunbj email làm mình còn chơi game vs lướt web chấp_nhận đc pin khoẻ,3,25/05/2020,Neutral
hên ghê mua em giảm 700k giá ưu_đãi 2tr990 mua 2 ốp lưng giá 90kthêm khách_hàng thân_thiết giảm thêm 150k tậu luôn tai phone nói nói thấy máy chạy mượt sao bạn chê mình chơi game quá ok nhân_viên nhiệt tìnhvui_vẻ,5,17/08/2020,Positive
mới mua cách đay mấy ngày thật tệ load hình quá chậm nhảy màn hinhloa nghe nhạc nhỏ,1,3/4/2020,Negative
máy dùng tạm dùng quen ip sáng máy ko ưng về cảm_ứng chất_lượng video xem gây nhức mắt pin khoẻ dùng cả buổi sáng hết 8,3,10/12/2019,Negative
đánh_giá 1 năm sử_dụng chơi game cực pin trâusạc nhanhhiệu năng tốt chụp ảnh ở mức bình_thường đủ dùng làm k dùng sống ảo hay chụp chuyên_nghiệp update phần_mềm thường_xuyên nhược_điểm lớn nhất phần thiết_kế camera lồi quá xước màn_hình siêu bền gorillas 3 ghét nhất ở máy wifi hay lag kết đáng mua trong tầm giá,4,20/06/2020,Positive
sóng_sánh kém lắmgiữa đất thị_trấn đc 23 vạch wifi phòng trong cách khoảng 5m bắt đc 3 vạch gửi đi hãng thẩm_định pin đêm tắt hết ứng dụngmạng sáng dậy tụt 12 chơi liên_quân đôi khựng chútđc màn nét,2,3/7/2020,Negative
mọi thứ ổn trừ đánh_thức cảm_ứng màn_hình sài nút bấm nguồn,3,16/07/2020,Neutral
huawei p30 lite sở_hữu màn_hình 615 inch độ phân_giải full hd phần notch kiểu giọt nước tích_hợp chip kirin 710 viên pin dung_lượng 3240 mah hỗ_trợ sạc nhanh 18w trang cụm 3 camera 20 16 2 mp,4,19/03/2019,Neutral
ok tất tội loa hơi nhỏ 1 tí màn_hình xem phim k mỏi_mắt hình_ảnh k mượt lắm còn chíp antutu đc 288k điểm mạnh hơn hẳn 730g,4,19/02/2020,Neutral
mình cảm_thấy oppo ko mượt quảng_cáo máy mình sử_dụng lỗi ứng_dụng 15 ngày đổi máy khác chụp hình mặt sưng ko đẹp ko đáng bỏ gần 13 triệu,5,20/06/2020,Negative
tôi thích sản_phẩm tâm già 8990 khó còn nào nó vẻ ngoài hình lẫn chức_năng,5,8/4/2020,Positive
pin tuột hơi nhanh đấy lướt fb bật tiết_kiệm pin 10p 90 còn 84 cảm_biến vâng tay tạm thôi chụp hình đẹp k hài_lòng về pin con thôi bù sạc nhanh_đỡ,4,3/2/2020,Neutral
cảm_nhận mình sử_dụng a70 thật quá tốt mình sợ lỗi nó tham khảm ý_kiến mua thật chê_trách pin trâu màn đẹp xem phim chơi game thích đặc_biệt viền bezel máy mỏng ae nào còn lăng tăng hay tham khảm mình nói thật mua trải nghiệm mới biết máy thế_nào đâu một máy lỗi tất_cả lỗi đâu riêng mình đánh_giá e tốt tầm tiền bỏ nhé,5,3/7/2019,Positive
máy ok hơi thất_vọng về pin tấm dán màn zin dùng tấm dán film cảm_giác k mượt thái_độ phục_vụ tốt 4,4,13/06/2020,Negative
máy mới nghe gọi to rõ ok nhân_viên tgdd nhiệt_tình thích máy tuy nghệ gọi đủ chức_năng nghe nhạc to khá hay,5,10/8/2020,Positive
máy dùng ok pin trâu nhân_viên tư_vấn nhiệt_tình chất_lượng đúng giá_thành,4,12/8/2020,Positive
quá ngon mọi người ơi ủng_hộ bác vượng đi nào v pin trâu mượt tính_năng thú_vị đặc_biệt trả_lời tin nhắn nhanh wp 10,5,19/02/2020,Positive
dùng 3 ngày mọi trải nghiệm tuyệt_vời pin ổn màn_hình tốt hề xấu hay rổ duy_nhất khoảng chụp ảnh xóa_phông vật_thể làm tốt chắc thiếu camera tele,4,4/11/2019,Positive
điện_thoại mọi thứ ổn cảm_biến vân tay pin hơi tệ giá,4,20/11/2019,Negative
mới mua hơn 1 tháng màn_hình lỗi 1 chấm xanh màn_hình cảm_ứng hơi đơ loa hơi rè rè mình đến điện_máy xanh bảo_hành màn hìnhquá buồn một giá cao đổi k hài_lòng cảm_thấy hối_hận mua máy,1,25/11/2019,Negative
máy lỗi kết_nối bluetooth đổi máy mới tình_trạng kết_nối chập_chờn bao_giờ sài samsung ko hài hài_lòng bây_giờ,3,17/01/2020,Negative
điện_thoại khá tốt pin trâu khá mượt bắt wifi cực tốt thỉnh_thoảng máy đơ thoát máy ko cập_nhật miul 12,4,8/7/2020,Positive
nghe bảo điện_thoại chơi game nóng mua về chiến liên_quân 3 4h liên_tục thấy ấm nóng lời đồn thứ khác vũng chẳng nói quá ngon,5,4/3/2020,Positive
1 máy chơi game lướt web ít sử_dụng giữ pin cao nhất khoảng 1 ngày 16 tiếng tính luôn cả ngủ nhé ngủ chẳng động tới 2 ngày mn nói đâu 2 nhạc nghe cà_giật cà_giật khó_chịu luôn 3 quay video mờ chán còn okie,3,3/12/2019,Negative
nói_chung khá ổn mức giá nhược_điểm selfie 80 50 k lấy đc nét chuẩn con a5s,3,14/07/2020,Negative
cam ứng pin hơi mau hết sac nhanh biêt mai_mốt câp nhật nó hết,3,14/08/2020,Negative
mọi người suy_nghĩ kỹ mua thứ nhất bắt sóng yếu thứ hai camera lâu_lâu lỗi chơi game giật lát ram đa_phần ram ảo áo mọi người nói đâu mua mọi người test cửa_hàng thế_giới di_động chất_lượng mình mong_muốn hãy mua,2,18/07/2020,Negative
chơi game ở mức ổn_định cấu_hình trung_bình lâu_lâu lag pin xài lâu sạc pin nhanh giá 8 triệu ok,4,20/02/2020,Neutral
sản_phẩm thiết_kế đẹp giá chính hãng bảo_hành tốt pin dùng cả ngày đi làm ko hết chụp ảnh đẹp tuyệt_vời,5,7/9/2018,Positive
k bk bản cập nhập lỗi hay k ngày xài thấy lag dt hôm_nay nt messenger còn lag soạn tin xog chữ dk đánh xog bỏ sô tiền cao mua sản_phẩm thấy thất_vọng quá,2,1/6/2020,Negative
hai buồn máy ko ý mua 1 tuần pin ko trâu vân tay ko nhạy tuy khóa màn_hình sơ_hở tắt khóa loạn cảm_ứng gọi lung_tung hết tiền phiền haizz sai làm mua con nhân_viên tgdd vui_vẻ nhiệt_tình chê máy ko chê thái_độ phục_vụ,1,25/12/2019,Negative
sao em mới mua ma tụt pin nhanh vạy sắc pin nhanh pin ko trâu j het xài đc 30 tụt 10phan trăm pin roi,1,8/2/2020,Negative
loa ngoài lâu_lâu rè biết phần_mềm hay phần_cứng tắt màn_hình mở hết,3,2/2/2020,Negative
cảm_nhận sử_dụng 5 tháng máy ok tốt pin lâu cấu_hình chơi game ổn 1 camera ko đc tốt xị hếttttttttttttttttttttttttttttttttttttttttttttttttttttttttttt,5,14/08/2020,Positive
mới_đầu sd thi ổn cảm_ứng chạm giật lác treo máy thường_xuyên gọi zalo ma treo máy nghĩ chán,1,18/03/2020,Negative
máy đẹp màn to tràn mượt trâu nv nhiệt_tình vó quà tặng galaxy đi ăn lòi mảng họng 4 sao máy mua phụ_huynh,4,28/12/2019,Positive
minh dung con note lỗi phần chân sac pinnó tích_hợp quá nhiều ứng_dụng công_năng vì_thế thời_tiết ẩm_ướt là ko sạc được pinmới mua máy vài hôm sạc pin vào hỏi ttbh ssnó trả_lời lỗi ro người dùng bị dính nước tư_vấn mình thay cụm chân sạc nếư đồng_ý phải thanh_toán hơn 1tr,1,10/4/2020,Negative
note 8 pro trừ sài 3g chơi game lag kinh_khủng còn ok hết pin trâu,3,27/10/2019,Positive
camera quá kém48 chấm ko bằng 16 chấm samsungcòn mọi thứ tốttạm chấp_nhận giá tiền đấy,4,19/07/2019,Negative
mình dùng 7 tháng đánh_giá khá mượt chơi game ok chức_năng rung báo cuộc gọi bé đút_túi quần k phát_hiện đôi lỗi cuộc_gọi nghe thấy đầu dây kia nói khởi_động tắt chức_năng báo tin nhắn zalo mình tìm khá cách đk,2,20/06/2020,Neutral
xài một tháng mượt sạc nhanh pin trâu chụp ảnh tạm ổn chơi game kiểu kg nóng nhétóm vô đối trong tầm giá,5,29/11/2019,Positive
cammera chụp tỷ_lệ 11 hoặc 34 bức ảnh khá ok cấu_hình chạy ổn mượt chơi game hơi nóng máy,5,29/10/2019,Neutral
giờ mấy biết ai xài con máy vismart hay realme wifi yếu tắt dịch_vụ vị_trí nhé bật max mạnh,5,5/5/2020,Neutral
máy dùng tốt ổn_định ko lỗi chơi game mượt ổn_định nóng máy nói_chung ai chơi game mua máy camera ok pin trâu sạc nhanh nhân_viên bán nhiệt_tình,5,15/07/2020,Positive
mình mua con a9 dùng 10tháng nói_chung ok thấy lỗi mình ít chơi game,4,28/07/2020,Positive
mình mua thật mượt lắm camera đẹp cả góc rộng mình mua bản màu xanh đối vs con chip exynos 9611 nhà samsung ổn pin 4000 mah mình xài xuyên suốt gần 2 ngày,5,23/03/2020,Positive
về cấu_hình quá tốt tầm giá nàynhưng điểm trừ ở kiểu_dáng kém mạnh mẽnếu apple làm gốc cạnh iphone 5 se quá đẹp rồihơi tiếc,4,8/7/2020,Negative
mới mua hồi tối mình cảm_thấy sản_phẩm hình đẹp game mượt pin ok bắt song 4g hơi kém dù mình ở tp,5,5/8/2020,Positive
pin tệ luôn xài kiểm_tra k ứng_dụng ngầm tới chiều còn 20 uổng_phí mua nhân_viên tư_vấn nói xài lâu lắm xem cách tư_vấn ng mua hàng đừng nói_dối bán hàng j nghỉ đến quyền_lợi ng tiêu_dùng,1,2/11/2019,Negative
máy mọi thứ tốt đáng tiền lưu_ý anh_em dùng thay cục sạc nhẹ hơn đỡ nóng máy trai pin nhé sạc nhanh 30w nóng lắm hãng nào cả,5,22/05/2020,Positive
máy tốt mở khóa khuôn_mặt hơi lâu đợi khoảng mấy giây chơi liên_quân dung_lượng pin 4030 mah 1 ngày ko ngày thứ hai camera tạm,4,16/09/2019,Neutral
tui mua ở thế_giới di_động tới 1tr4 sao giờ rẽ thếtui mua về máy yếu quá muốn đập thật pin cùi quá,2,21/05/2020,Negative
máy xài khỏi chê cảm_ứng vân tay nhạy bấm mấy lần mới,4,14/09/2019,Neutral
tệ bỏ gần 10 triệu nhận màn_hình lỗi cảm_ứng đa điểm chơi liên_quân quá tệ quá tệ ức_chế,1,7/5/2019,Negative
thật máy mượt mạnh camera đẹp nét màn_hình hiển_thị đẹp pin ko trâu lắm,5,4/5/2019,Positive
sản_phẩm mớithiết kế đẹp_mắt pin bao trâumực dù k sạc nhanh vô pin mau,5,22/05/2020,Positive
mua test mấy game nặng thấy ok cảm_biến vân tay k đc nhạy lắm,5,22/06/2019,Negative
máy xài khá ok bắt wifi quá tệ kh dùng quá lag vân tay quá tệ nhận_diện khuôn_mặt ok kh hài_lòng về bắt sóng wifi,2,10/8/2019,Positive
tuyệt_vời vsmart joy 3 pin trâu kinh_khủng_khiếp thiết_kế màn_hình 6t inch đẹp,5,19/02/2020,Positive
pin trâu game mượt cấu_hình ổn hiệu_năng tuyệt_vời camera đủ chức_năng khá ổn trong tầm giá mua vivo hơn oppo realme phân khúc,5,8/8/2020,Positive
mình mua ở tgdd đc vài ngày nhân_viên tư_vấn nhiệt_tình chu_đáo còn máy dùng pin hơi tụt nhanh một_chút dùng tạm chấp_nhận đc còn mọi thứ thấy ok,4,24/06/2019,Positive
sefie màu_da vàng_khè nút ứng_dụng mờ ko sắc nét tầm giá thất_vọng quá mới mua hom thực muốn đổi ko biết sao,3,2/10/2019,Negative
máy_tiện_lợi người lớn_tuổi mua ông nội 1 máy trang thêm viên lớn tuyệt_vời,5,11/9/2019,Neutral
máy sài mượt chụp đêm ảnh thu sáng tốt tiếc kiện hốt em s20 ultra ngon,5,7/3/2020,Positive
máy bắt mạng kém quá đôi chơi game đơ bực_mình thất bỏ gần 5tr mua con máy quá thất_vọng,1,16/07/2020,Negative
mới mua 7 ngày sạc 3 lần 8 tiếng 1 lần sạc thường ko chơi game mạng đọc tin_tức pin còn 98 nạn ghê,4,3/4/2020,Negative
mới mua 5 ngày mọi thứ tạm ổn quá thất_vọng về pin mag tiếng dung_lượng pin 5000 xài hụt pin hơn cả oppo f11 4000mah yên 1 ngày 10t k đụng vô k bật bất_kỳ ứng_dụng hay chương_trình nào tụt hơn 10 sao,3,6/8/2020,Negative
nhận máy m7 hôm_nay đc 5 hôm máy lỗi đen màn gọi rung nhấn rung làm k sáng màn lần đầu m tự khởi_động lần 2 gọi tổng_đài bảo retore cài_đặt gốc lần 3 gọi tổng_đài bảo mang quán nhân_viên vọc tí khởi_động bảo máy bt k đổi mình tin_tưởng tgdd hay mua hàng ở nghĩ bh kiểu tốt ai dè lần thất_vọng vô,1,13/04/2020,Negative
máy mua sử_dụng bình_thường còn ai mua chiến game đừng mua chơi pubg dùng gyroscop nó chậm khoảng 05 giây ghìm tay giật phát k độ ổn_định mới mua xong về bán mất 20 giá_trị ban_đầu đừng ai mua chơi game game chọn mua dòng xiaomi chất nhất,3,18/04/2020,Negative
dùng máy tốt hệ hành mượt camera đẹp chụp tốt pin khỏe 1 ngày dùng mới sac,5,16/08/2018,Positive
mọi thứ ổn làm tốtchỉ chơi pubg ngắm kéo mãi đéo chịu đi loạn cmn cảm_ứng chán,2,24/05/2019,Neutral
thấy bác chê quáchứ e sài_thấy ổn pin trâu sài cã ngày vivu wifi 3g ổn cã nhận_diện khuôn_mặt hơi chậm vân tay củng k nhạy lắm ngoài thấy tất cã ổn trong tầm tiền bỏ,5,10/7/2020,Positive
vsmart active 3 ổn giá_cả tốt chúc tập_đoàn vingroup ngày vương cao_sản_xuất sản_phẩm thông_minh hơn,5,24/02/2020,Positive
sản_phẩm ngon_lành trong tầm giámua phụ_huynh dùng thíchmáy nhanhpin trâusóng điện_thoại tốt,5,17/02/2020,Positive
mua máy dc 4 hôm r tất ổn chiến game tốt pubg liên_quân bản cập_nhật mới chơi tốt pin ổn thể xài đc cả ngày tuy_nhiên chiến game tốt facebook lướt tý dấu_hiệu hơi khựng đi kéo trang xuống còn ứng_dụng khác tốt vẽ facebook dc tối_ưu kĩ hay s ấy,4,18/07/2019,Positive
biết ai giống e cam cấn nhẹ nứt một đường ạ thiết_nghĩ mua ốp lưng bảo_vệ cụm cam hoặc dán cường_lực còn mọi thứ tốt trong tầm giá nv bán hàng nhiệt_tình,4,6/4/2020,Positive
thiết_kế đẹp chụp hình rõ sắc nét cảm_ứng mượt pin dùng 2 ngày phù_hợp tầm giá,5,8/6/2020,Positive
máy xài ổn_định pin xài hơn 1 ngày mới hết mạng mẽo cũng ok mỗi tội lúc có cuộc_gọi thì mất data,5,5/5/2020,Positive
mua sản_phẩm đẹp ưng_ý thích k hối_tiếc mua sp tuyệt_vời giá màu xanh tôi mua thêm,5,17/12/2019,Positive
pin 4500 tụt quá nhanh lướt lướt mất 1 đêm còn hơn hỏi nhân_viên kêu cắm sạc đêm hết vân tay nhận_diện khá chậm còn ổnko biết 10 lite ko,2,29/03/2020,Negative
máy mượt bắt sóng kémsạc pin nóngpin hao nhanh mới mua mấy ngày giá giảm rồimất 500k,4,29/02/2020,Negative
mua gần tháng cảm_thấy hài_lòng pin trâu chơi liên_quân bằng 3g liên_tục đk 67 tiếng còn gần 40 pin máy đẹp sạc 30 100 gần 2 tiếng đầy nhân_viên chu_đáo nhiệt_tình,5,13/02/2020,Positive
sp ổn tội vân tay nhận nhân_viên nhiệt_tình pin trâu cả đêm tụt 1,4,8/7/2020,Positive
máy kém quá kém quay video gọi video máy nóng than nhanh hết pin chon ko bao_giờ chọn hàng samsung,1,21/05/2020,Negative
mới mua về pin xài khá ok đc 1 tháng pin hết quá nhanh sạc nhanh 30w cắm sạc 20 đến 100 mất 55p một tháng thấy pin hơi tệ biết về còn lỗi,3,4/7/2020,Negative
phần nhật_kí cuộc_gọi dùng 2 sim ko hiện sim nào trong cuộc_gọi ai gọi tới biết sim nào mọi thứ khác ok hết,3,14/04/2020,Neutral
mới lấy máy hôm 23 5 pin tụt hơi nhanh k làm 30 phút tụt 3 k biết máy sao k,4,25/05/2020,Negative
sản_phẩm 1 tuần sử_dụng ok về game bao mượtcamera âm_thanh đcns chung máy ok,5,12/2/2020,Positive
máy nhẹ kiểu_dáng đẹp thích_hợp con_gái dt nhanh hết pincòn tất_cả ok,4,13/05/2020,Positive
